Disease Name,Overview,Symptoms,URL
Cholangiocarcinoma (bile duct cancer),"Cholangiocarcinoma is a type of cancer that forms in the slender tubes (bile ducts) that carry the digestive fluid bile. Bile ducts connect your liver to your gallbladder and to your small intestine.
Cholangiocarcinoma, also known as bile duct cancer, occurs mostly in people older than age 50, though it can occur at any age.
Doctors divide cholangiocarcinoma into different types based on where the cancer occurs in the bile ducts:
Cholangiocarcinoma is often diagnosed when it's advanced, making successful treatment difficult to achieve.","Signs and symptoms of cholangiocarcinoma include: | Yellowing of your skin and the whites of your eyes (jaundice) | Intensely itchy skin | White-colored stools | Fatigue | Abdominal pain on the right side, just below the ribs | Losing weight without trying | Fever | Night sweats | Dark urine",https://www.mayoclinic.org/diseases-conditions/cholangiocarcinoma/symptoms-causes/syc-20352408
Primary sclerosing cholangitis,"Primary sclerosing (skluh-ROHS-ing) cholangitis (koh-lan-JIE-tis) is a disease of the bile ducts. Bile ducts carry the digestive liquid bile from your liver to your small intestine. In primary sclerosing cholangitis, inflammation causes scars within the bile ducts. These scars make the ducts hard and narrow and gradually cause serious liver damage. A majority of people with primary sclerosing cholangitis also have inflammatory bowel disease, such as ulcerative colitis or Crohn's disease.
In most people with primary sclerosing cholangitis, the disease progresses slowly. It can eventually lead to liver failure, repeated infections, and tumors of the bile duct or liver. A liver transplant is the only known cure for advanced primary sclerosing cholangitis, but the disease may recur in the transplanted liver in a small number of patients.
Care for primary sclerosing cholangitis focuses on monitoring liver function, managing symptoms and, when possible, doing procedures that temporarily open blocked bile ducts.",Primary sclerosing cholangitis is often diagnosed before symptoms appear when a routine blood test or an X-ray taken for an unrelated condition shows liver abnormalities. | Early signs and symptoms often include: | Fatigue | Itching | Yellow eyes and skin (jaundice) | Abdominal pain | Many people diagnosed with primary sclerosing cholangitis before they have symptoms continue to feel generally well for several years. But there's no reliable way to predict how quickly or slowly the disease will progress for any individual. | Signs and symptoms that may appear as the disease progresses include: | Fever | Chills | Night sweats | Enlarged liver | Enlarged spleen | Weight loss,https://www.mayoclinic.org/diseases-conditions/primary-sclerosing-cholangitis/symptoms-causes/syc-20355797
Cholecystitis,"Cholecystitis (ko-luh-sis-TIE-tis) is swelling and irritation, called inflammation, of the gallbladder. The gallbladder is a small, pear-shaped organ on the right side of the belly under the liver. The gallbladder holds fluid that digests food. This fluid is called bile. The gallbladder releases bile into the small intestine.
Most often, gallstones that block the tube leading out of the gallbladder cause cholecystitis. This results in a bile buildup that can cause inflammation. Other causes of cholecystitis include bile duct changes, tumors, serious illness and certain infections.
If not treated, cholecystitis can lead to serious complications, such as gallbladder rupture. These can be life-threatening. Treatment for cholecystitis often involves surgery to remove the gallbladder.",Symptoms of cholecystitis may include: | Severe pain in the upper right or center belly area. | Pain that spreads to the right shoulder or back. | Tenderness over the belly area when it's touched. | Nausea. | Vomiting. | Fever. | Cholecystitis symptoms often come on after a meal. A large or fatty meal is most likely to cause symptoms.,https://www.mayoclinic.org/diseases-conditions/cholecystitis/symptoms-causes/syc-20364867
Cholera,,,https://www.mayoclinic.org/diseases-conditions/cholera/symptoms-causes/syc-20355287
Cholestasis of pregnancy,"Intrahepatic cholestasis of pregnancy, commonly known as cholestasis of pregnancy, is a liver condition that can occur in late pregnancy. The condition triggers intense itching, but without a rash. Itching is usually on the hands and feet but also can occur on other parts of the body.
Cholestasis of pregnancy can make you very uncomfortable. But more worrisome are the potential complications, especially for your baby. Because of the risk of complications, your pregnancy care provider may recommend early term delivery around 37 weeks.","Intense itching is the main symptom of cholestasis of pregnancy. But there is no rash. Typically, you feel itchy on the palms of your hands or the soles of your feet, but you may feel itchy everywhere. The itching is often worse at night and may bother you so much that you can't sleep. | The itching is most common during the third trimester of pregnancy but sometimes begins earlier. It may feel worse as your due date gets near. But once your baby arrives, the itchiness usually goes away within a few days. | Other less common signs and symptoms of cholestasis of pregnancy may include: | Yellowing of the skin and whites of the eyes, called jaundice | Nausea | Loss of appetite | Oily, foul-smelling stools",https://www.mayoclinic.org/diseases-conditions/cholestasis-of-pregnancy/symptoms-causes/syc-20363257
Chondrosarcoma,"Chondrosarcoma is a rare type of cancer that usually begins in the bones, but can sometimes occur in the soft tissue near bones. Chondrosarcoma happens most often in the pelvis, hip and shoulder. More rarely, it can happen in the bones of the spine.
Most chondrosarcomas grow slowly and may not cause many signs and symptoms at first. Some rare types grow rapidly and have a high risk of spreading to other areas of the body, which can make these cancers difficult to treat.
Chondrosarcoma treatment usually involves surgery. Other options might include radiation therapy and chemotherapy.","Chondrosarcoma tends to grow slowly, so it might not cause signs and symptoms at first. When they occur, signs and symptoms of chondrosarcoma may include: | Increasing pain | A growing lump or area of swelling | Weakness or bowel and bladder control problems, if the cancer presses on the spinal cord",https://www.mayoclinic.org/diseases-conditions/chondrosarcoma/symptoms-causes/syc-20354196
Chordoma,"Chordoma is a rare type of bone cancer that starts as a growth of cells in the bones of the spine or the skull. It most often forms where the skull sits atop the spine, called the skull base, or at the bottom of the spine, called the sacrum.
Chordoma begins in cells that help form the spine before birth. The cells typically become the disks of the spine. If any of these cells are left over when a baby is born, they typically go away soon after birth. But sometimes a few of these cells stay and, rarely, they can become cancerous.
Chordoma usually grows slowly. It can be difficult to treat because a chordoma can grow very close to the spinal cord and other important structures, such as arteries, nerves or the brain. This cancer often comes back after treatment.","Signs and symptoms of chordoma may include: | Headache. | Neck pain. | Vision trouble, including blurred or double vision or vision loss. | Trouble with balance. | Hearing loss. | Facial paralysis. | Muscle weakness. | Trouble swallowing. | Shortness of breath.",https://www.mayoclinic.org/diseases-conditions/chordoma/symptoms-causes/syc-20580258
Huntington's disease,"Huntington's disease causes nerve cells in the brain to decay over time. The disease affects a person's movements, thinking ability and mental health.
Huntington's disease is rare. It's often passed down through a changed gene from a parent.
Huntington's disease symptoms can develop at any time, but they often begin when people are in their 30s or 40s. If the disease develops before age 20, it's called juvenile Huntington's disease. When Huntington's develops early, symptoms can be different and the disease may have a faster progression.
Medicines are available to help manage the symptoms of Huntington's disease. However, treatments can't prevent the physical, mental and behavioral decline caused by the disease.",Huntington's disease usually causes movement disorders. It also causes mental health conditions and trouble with thinking and planning. These conditions can cause a wide spectrum of symptoms. The first symptoms vary greatly from person to person. Some symptoms appear to be worse or have a greater effect on functional ability. These symptoms may change in severity throughout the course of the disease.,https://www.mayoclinic.org/diseases-conditions/huntingtons-disease/symptoms-causes/syc-20356117
Choroid plexus carcinoma,"Choroid plexus carcinoma is a rare type of brain cancer that happens mainly in children.
Choroid plexus carcinoma begins as a growth of cells in the part of the brain called the choroid plexus. Cells in the choroid plexus produce the fluid that surrounds and protects the brain and spinal cord. This fluid is called cerebrospinal fluid, also known as CSF. As the cancer grows, it can cause too much CSF in the brain. This can lead to symptoms such as irritability, nausea or vomiting, and headaches.
Treatment and chance of recovery depend on many factors. These include the cancer's size, location, whether it has spread, and your child's age and general health.",Choroid plexus carcinoma symptoms include: | Blurred or double vision. | Headaches. | Increased tiredness. | Irritability. | Nausea. | Seizures. | Vomiting.,https://www.mayoclinic.org/diseases-conditions/choroid-plexus-carcinoma/symptoms-causes/syc-20578760
Addison's disease,"Addison's disease is a rare condition that happens when the body doesn't make enough of some hormones. Another name for Addison's disease is primary adrenal insufficiency. With Addison's disease, the adrenal glands make too little of the hormone cortisol. Often, they also make too little of another hormone called aldosterone.
Damage to the adrenal glands causes Addison's disease. Symptoms can start slowly. Early symptoms may include extreme tiredness, salt cravings and weight loss.
Addison's disease can affect anyone. Without treatment, it can be life-threatening. Treatment involves taking lab-made hormones to replace those that are missing.","Addison's disease symptoms usually happen slowly, often over months. The disease may happen so slowly that people who have it might ignore the symptoms at first. Physical stress such as an illness or injury can make symptoms get worse fast. | Early symptoms of Addison's disease can affect you in various ways. Some early symptoms can cause discomfort or loss of energy, including: | Extreme tiredness, also called fatigue. | Dizziness or fainting when standing after sitting or lying down. This is due to a type of low blood pressure called postural hypotension. | Sweating due to low blood sugar, also called hypoglycemia. | Upset stomach, diarrhea or vomiting. | Pain in the stomach area, also called the abdomen. | Muscle cramps, weakness, widespread pain or joint pain. | Other early symptoms can cause changes in how you look, such as: | Body hair loss. | Areas of darkened skin, especially on scars and moles. These changes may be harder to see on Black or brown skin. | Weight loss due to less hunger. | Early Addison's disease symptoms also can affect emotions, mental health and desires. These symptoms include: | Depression. | Irritable mood. | Lower sex drive in women. | Salt craving.",https://www.mayoclinic.org/diseases-conditions/addisons-disease/symptoms-causes/syc-20350293
Chronic exertional compartment syndrome,,,https://www.mayoclinic.org/diseases-conditions/chronic-exertional-compartment-syndrome/symptoms-causes/syc-20350830
Chronic cough,"A chronic cough is a cough that lasts eight weeks or longer in adults, or four weeks in children. A chronic cough is more than just annoying. It can interrupt your sleep and leave you feeling very tired. Severe cases of chronic cough can cause vomiting and lightheadedness, and even break a rib.
The most common causes are tobacco use and asthma. Other common causes include fluid that drips from the nose down the back of the throat, called postnasal drip, and the backward flow of stomach acid into the tube that connects the throat to the stomach, called acid reflux. Fortunately, chronic cough usually goes away once the underlying issue is treated.","A chronic cough can occur with other symptoms, including: | A runny or stuffy nose. | A feeling of liquid running down the back of your throat, also known as postnasal drip. | Clearing your throat a lot. | Sore throat. | Hoarseness. | Wheezing and shortness of breath. | Heartburn or a sour taste in your mouth. | In rare cases, coughing up blood.",https://www.mayoclinic.org/diseases-conditions/chronic-cough/symptoms-causes/syc-20351575
Chronic daily headaches,"Most people have headaches from time to time. But if you have a headache more days than not, you might have chronic daily headaches.
Rather than a specific headache type, chronic daily headaches include a variety of headache subtypes. Chronic refers to how often the headaches occur and how long the condition lasts.
The constant nature of chronic daily headaches makes them one of the most disabling headache conditions. Aggressive initial treatment and steady, long-term management might reduce pain and lead to fewer headaches.","By definition, chronic daily headaches occur 15 days or more a month, for longer than three months. True (primary) chronic daily headaches aren't caused by another condition. | There are short-lasting and long-lasting chronic daily headaches. Long-lasting headaches last more than four hours. They include: | Chronic migraine | Chronic tension-type headache | New daily persistent headache | Hemicrania continua",https://www.mayoclinic.org/diseases-conditions/chronic-daily-headaches/symptoms-causes/syc-20370891
Myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS),"Myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS) is a complicated disorder.
It causes extreme fatigue that lasts for at least six months. Symptoms worsen with physical or mental activity but don't fully improve with rest.
The cause ofME/CFSis unknown, although there are many theories. Experts believe it might be triggered by a combination of factors.
There's no single test to confirm a diagnosis. You may need a variety of medical tests to rule out other health problems that have similar symptoms. Treatment for the condition focuses on easing symptoms.","Symptoms ofME/CFScan vary from person to person, and the severity of symptoms can fluctuate from day to day. In addition to fatigue, symptoms may include: | Extreme exhaustion after physical or mental exercise. | Problems with memory or thinking skills. | Dizziness that worsens with moving from lying down or sitting to standing. | Muscle or joint pain. | Unrefreshing sleep. | Some people with this condition have headaches, sore throats, and tender lymph nodes in the neck or armpits. People with the condition also may become extra sensitive to light, sound, smells, food and medicines.",https://www.mayoclinic.org/diseases-conditions/chronic-fatigue-syndrome/symptoms-causes/syc-20360490
Chronic granulomatous disease,"Chronic granulomatous (gran-u-LOM-uh-tus) disease (CGD) is an inherited disorder that occurs when a type of white blood cell, called a phagocyte, doesn't work properly. Phagocytes usually help your body fight infections. When they don't work as they should, phagocytes can't protect your body from bacterial and fungal infections.
People with chronic granulomatous disease may develop infections in their lungs, skin, lymph nodes, liver, stomach and intestines, or other areas. They also may develop clusters of white blood cells in infected areas. Most people are diagnosed withCGDduring childhood, but some people may not be diagnosed until adulthood.","People with chronic granulomatous disease experience serious bacterial or fungal infection every few years. An infection in the lungs, including pneumonia, is common. People withCGDmay develop a serious type of fungal pneumonia after being exposed to dead leaves, mulch or hay. | It's also common for people withCGDto experience infections of the skin, liver, stomach and intestines, brain, and eyes. Symptoms associated with infections include: | Fever. | Chest pain when inhaling or exhaling. | Swollen and sore lymph glands. | An ongoing runny nose. | Skin irritation that may include a rash, swelling or redness. | Swelling and redness in the mouth. | Gastrointestinal problems that may include:Vomiting.Diarrhea.Stomach pain.Bloody stool.A painful pocket of pus near the anus. | Vomiting. | Diarrhea. | Stomach pain. | Bloody stool. | A painful pocket of pus near the anus.",https://www.mayoclinic.org/diseases-conditions/chronic-granulomatous-disease/symptoms-causes/syc-20355817
Chronic hives,"Hives — also called urticaria (ur-tih-KAR-e-uh) — is a skin reaction that causes itchy welts. Chronic hives are welts that last for more than six weeks and return often over months or years. Often, the cause of chronic hives isn't clear.
The welts often start as itchy patches that turn into swollen welts that vary in size. These welts appear and fade at random as the reaction runs its course. Each individual welt typically lasts less than 24 hours.
Chronic hives can be very uncomfortable and interfere with sleep and daily activities. For many people, anti-itch medicines, called antihistamines, provide relief.","Symptoms of chronic hives include: | Batches of welts, called weals, that can arise anywhere on the body. | Welts that might be red, purple or skin-colored, depending on your skin color. | Welts that vary in size, change shape, and appear and fade repeatedly. | Itchiness, also called pruritus, which can be intense. | Painful swelling, called angioedema, around the eyes, cheeks or lips. | Flares triggered by heat, exercise or stress. | Symptoms that persist for more than six weeks and recur often and anytime, sometimes for months or years.",https://www.mayoclinic.org/diseases-conditions/chronic-hives/symptoms-causes/syc-20352719
Chronic kidney disease,"Chronic kidney disease, also called chronic kidney failure, involves a gradual loss of kidney function. Your kidneys filter wastes and excess fluids from your blood, which are then removed in your urine. Advanced chronic kidney disease can cause dangerous levels of fluid, electrolytes and wastes to build up in your body.
In the early stages of chronic kidney disease, you might have few signs or symptoms. You might not realize that you have kidney disease until the condition is advanced.
Treatment for chronic kidney disease focuses on slowing the progression of kidney damage, usually by controlling the cause. But, even controlling the cause might not keep kidney damage from progressing. Chronic kidney disease can progress to end-stage kidney failure, which is fatal without artificial filtering (dialysis) or a kidney transplant.","Signs and symptoms of chronic kidney disease develop over time if kidney damage progresses slowly. Loss of kidney function can cause a buildup of fluid or body waste or electrolyte problems. Depending on how severe it is, loss of kidney function can cause: | Nausea | Vomiting | Loss of appetite | Fatigue and weakness | Sleep problems | Urinating more or less | Decreased mental sharpness | Muscle cramps | Swelling of feet and ankles | Dry, itchy skin | High blood pressure (hypertension) that's difficult to control | Shortness of breath, if fluid builds up in the lungs | Chest pain, if fluid builds up around the lining of the heart | Signs and symptoms of kidney disease are often nonspecific. This means they can also be caused by other illnesses. Because your kidneys are able to make up for lost function, you might not develop signs and symptoms until irreversible damage has occurred.",https://www.mayoclinic.org/diseases-conditions/chronic-kidney-disease/symptoms-causes/syc-20354521
Hashimoto's disease,,,https://www.mayoclinic.org/diseases-conditions/hashimotos-disease/symptoms-causes/syc-20351855
COPD,"Chronic obstructive pulmonary disease (COPD) is an ongoing lung condition caused by damage to the lungs. The damage results in swelling and irritation, also called inflammation, inside the airways that limit airflow into and out of the lungs. This limited airflow is known as obstruction. Symptoms include trouble breathing, a daily cough that brings up mucus and a tight, whistling sound in the lungs called wheezing.
COPD is most often caused by long-term exposure to irritating smoke, fumes, dust or chemicals. The most common cause is cigarette smoke.
Emphysema and chronic bronchitis are the two most common types of COPD. These two conditions usually occur together and can vary in severity among people with COPD.
Chronic bronchitis is inflammation of the lining of the tubes that bring air into the lungs. These tubes are called bronchi. The inflammation prevents good airflow into and out of the lungs and makes extra mucus. In emphysema, the small air sacs of the lungs, called alveoli, are damaged. The damaged alveoli can't pass enough oxygen into the bloodstream.
Although COPD is a condition that can get worse over time, COPD is treatable. With proper management, most people with COPD can control symptoms and improve their quality of life. Proper management also can lower the risk of other conditions linked to COPD, such as heart disease and lung cancer.","COPD symptoms often don't appear until a lot of lung damage has occurred. Symptoms usually worsen over time, especially if smoking or other irritating exposure continues. | Symptoms of COPD may include: | Trouble catching your breath, especially during physical activities. | Wheezing or whistling sounds when breathing. | Ongoing cough that may bring up a lot of mucus. The mucus may be clear, white, yellow or greenish. | Chest tightness or heaviness. | Lack of energy or feeling very tired. | Frequent lung infections. | Losing weight without meaning to. This may happen as the condition worsens. | Swelling in ankles, feet or legs. | People with COPD also are likely to have times when their symptoms become worse than the usual day-to-day variation. This time of worsening symptoms is called an exacerbation (eg-zas-er-bay-shun). Exacerbations can last for several days to weeks. They can be caused by triggers such as smells, cold air, air pollution, colds or infections. Symptoms may include: | Working harder than usual to breathe or having trouble breathing. | Chest tightness. | Coughing more often. | More mucus or changes in mucus color or thickness. | Fever.",https://www.mayoclinic.org/diseases-conditions/copd/symptoms-causes/syc-20353679
Chronic pelvic pain,"Chronic pelvic pain is pain in the area below the bellybutton and between the hips that lasts six months or longer.
Chronic pelvic pain can have more than one cause. It may be a symptom of another disease, or it can be a condition in its own right.
If chronic pelvic pain seems to be caused by another health condition, treating that problem may get rid of the pain.
But tests may not be able to find a cause for chronic pelvic pain. In that case, the goal of treatment is to ease pain and other symptoms. That could make your quality of life better.","You may feel chronic pelvic pain in different parts of your pelvic area, rather than in just one spot. You might describe the pain in one or more of the following ways: | Serious and steady. | Pain that comes and goes. | Dull aching. | Sharp pains or cramping. | Pressure or heaviness deep within the pelvis. | The pain also may happen: | During sex. | While having a bowel movement or urinating. | When you sit or stand for a long time. | Chronic pelvic pain may be mild. Or it may be so intense that you miss work and can't sleep or exercise. | Other symptoms can include: | An urgent or frequent need to urinate. | Bloating. | Upset stomach. | Constipation or diarrhea.",https://www.mayoclinic.org/diseases-conditions/chronic-pelvic-pain/symptoms-causes/syc-20354368
Chronic sinusitis,"Chronic sinusitis causes the spaces inside the nose and head, called sinuses, to become inflamed and swollen. The condition lasts 12 weeks or longer, even with treatment.
This common condition keeps mucus from draining. It makes the nose stuffy. Breathing through the nose might be hard. The area around the eyes might feel swollen or tender.
Infection, growths in the sinuses, called nasal polyps, and swelling of the lining of the sinuses might all be part of chronic sinusitis. Chronic sinusitis is also called chronic rhinosinusitis. The condition affects adults and children.","Common symptoms of chronic sinusitis include: | Thick, discolored mucus from the nose, known as a runny nose. | Mucus down the back of the throat, known as postnasal drip. | Blocked or stuffy nose, known as congestion. This makes it hard to breathe through the nose. | Pain, tenderness and swelling around the eyes, cheeks, nose or forehead. | Reduced sense of smell and taste. | Other symptoms can include: | Ear pain. | Headache. | Aching in the teeth. | Cough. | Sore throat. | Bad breath. | Tiredness. | Chronic sinusitis and acute sinusitis have similar symptoms. But acute sinusitis is a short-lived infection of the sinuses often linked to a cold. | The symptoms of chronic sinusitis last at least 12 weeks. There might be many bouts of acute sinusitis before it becomes chronic sinusitis. Fever isn't common with chronic sinusitis. But fever might be part of acute sinusitis.",https://www.mayoclinic.org/diseases-conditions/chronic-sinusitis/symptoms-causes/syc-20351661
Chronic traumatic encephalopathy,"Chronic traumatic encephalopathy (CTE) is a brain disorder likely caused by repeated head injuries. It causes the death of nerve cells in the brain, known as degeneration.CTEgets worse over time. The only way to definitively diagnosisCTEis after death during an autopsy of the brain.
CTEis a rare disorder that is not yet well understood.CTEdoesn't appear to be related to a single head injury. It's related to repeated head injuries, often occurring in contact sports or military combat. The development ofCTEhas been associated with second impact syndrome, in which a second head injury happens before previous head injury symptoms have fully resolved.
Experts are still trying to understand how repeated head injuries and other factors might contribute to the changes in the brain that result inCTE. Researchers are looking into how the number of head injuries someone experiences and how bad the injuries are may affect risk ofCTE.
CTEhas been found in the brains of people who played U.S. football and other contact sports, including boxing. It also may occur in military members who were exposed to explosive blasts. Symptoms ofCTEare thought to include trouble with thinking and emotions, physical problems, and other behaviors. It's thought that these develop years to decades after head trauma occurs.
CTEcan't be definitively diagnosed during life except in people with high-risk exposures. Researchers are currently developing diagnostic biomarkers forCTE, but none has been validated yet. When the symptoms associated withCTEoccur, health care providers may diagnose traumatic encephalopathy syndrome.
Experts don't yet know how oftenCTEoccurs in the population, but it appears to be rare. They also don't fully understand the causes. There is no cure forCTE.","There are no specific symptoms that have been clearly linked toCTE. Some of the possible symptoms can occur in many other conditions. In the people who were confirmed to haveCTEat autopsy, symptoms have included cognitive, behavioral, mood and motor changes.",https://www.mayoclinic.org/diseases-conditions/chronic-traumatic-encephalopathy/symptoms-causes/syc-20370921
Churg-Strauss syndrome,,,https://www.mayoclinic.org/diseases-conditions/churg-strauss-syndrome/symptoms-causes/syc-20353760
Cirrhosis,"Cirrhosis is advanced scarring of the liver caused by many diseases and conditions, including hepatitis or alcohol use disorder.
Each time the liver is injured — whether by alcohol use disorder or another cause, such as infection — it tries to repair itself. In the process, scar tissue forms. As cirrhosis gets worse, more and more scar tissue forms, making it difficult for the liver to do its job. Advanced cirrhosis is life-threatening.
The liver damage caused by cirrhosis generally can't be undone. But if liver cirrhosis is diagnosed early and the underlying cause is treated, further damage can be limited. In rare cases, it may be reversed.","Cirrhosis often has no symptoms until liver damage is serious. When symptoms do happen, they may include: | Extreme tiredness. | Easily bleeding or bruising. | Loss of appetite. | Nausea. | Swelling in the legs, feet or ankles, called edema. | Weight loss. | Itchy skin. | Yellow discoloration in the skin and eyes, called jaundice. | Fluid buildup in the belly, called ascites (uh-SAHY-teez). | Spiderlike blood vessels on the skin. | Redness in the palms of the hands. | Pale fingernails, especially the thumb and index finger. | Clubbing of the fingers, in which the fingertips spread out and become rounder than usual. | For women, absence of or loss of periods not related to menopause. | For men, loss of sex drive, testicular shrinkage or breast enlargement, known as gynecomastia. | Confusion, drowsiness or slurred speech.",https://www.mayoclinic.org/diseases-conditions/cirrhosis/symptoms-causes/syc-20351487
Creutzfeldt-Jakob disease,,,https://www.mayoclinic.org/diseases-conditions/creutzfeldt-jakob-disease/symptoms-causes/syc-20371226
Claudication,,,https://www.mayoclinic.org/diseases-conditions/claudication/symptoms-causes/syc-20370952
Cleft lip and cleft palate,"Cleft lip and cleft palate are openings or splits in the upper lip, the roof of the mouth (palate) or both. Cleft lip and cleft palate occur when an unborn baby's face and mouth are developing and the upper lip and palate don't close fully.
Cleft lip and cleft palate are among the most common birth defects. These birth defects can occur on their own or together. Sometimes a syndrome may cause these birth defects. But the cause is often not known.
Having a baby born with a cleft can be upsetting, but treatment can correct cleft lip and cleft palate. After a series of surgeries, the lips and palate work like they should and the baby looks much better. Usually, only slight scarring occurs.","Usually, a split (cleft) in the lip or roof of the mouth (palate) can be seen right away at birth. It may be found before birth during a prenatal ultrasound. Cleft lip and cleft palate may look like: | A split in the lip and palate that affects one or both sides of the face. | A split in the lip that appears as only a small notch in the lip or extends from the lip through the upper gum and palate into the bottom of the nose. | A split in the roof of the mouth that doesn't affect how the face looks. | Less often, a cleft occurs only in the muscles of the soft palate, which are at the back of the mouth and covered by the mouth's lining. This is called a submucous cleft palate. This type of cleft may not be seen at birth and may not be diagnosed until later when signs arise, such as: | Having a hard time feeding. | Nasal speaking voice. | Constant ear infections. | Rarely, having a hard time swallowing. Liquids or foods may come out of the nose.",https://www.mayoclinic.org/diseases-conditions/cleft-palate/symptoms-causes/syc-20370985
Mitral valve prolapse,,,https://www.mayoclinic.org/diseases-conditions/mitral-valve-prolapse/symptoms-causes/syc-20355446
Depression (major depressive disorder),"Depression is a mood disorder that causes a persistent feeling of sadness and loss of interest. Also called major depressive disorder or clinical depression, it affects how you feel, think and behave and can lead to a variety of emotional and physical problems. You may have trouble doing normal day-to-day activities, and sometimes you may feel as if life isn't worth living.
More than just a bout of the blues, depression isn't a weakness and you can't simply ""snap out"" of it. Depression may require long-term treatment. But don't get discouraged. Most people with depression feel better with medication, psychotherapy or both.","Although depression may occur only once during your life, people typically have multiple episodes. During these episodes, symptoms occur most of the day, nearly every day and may include: | Feelings of sadness, tearfulness, emptiness or hopelessness | Angry outbursts, irritability or frustration, even over small matters | Loss of interest or pleasure in most or all normal activities, such as sex, hobbies or sports | Sleep disturbances, including insomnia or sleeping too much | Tiredness and lack of energy, so even small tasks take extra effort | Reduced appetite and weight loss or increased cravings for food and weight gain | Anxiety, agitation or restlessness | Slowed thinking, speaking or body movements | Feelings of worthlessness or guilt, fixating on past failures or self-blame | Trouble thinking, concentrating, making decisions and remembering things | Frequent or recurrent thoughts of death, suicidal thoughts, suicide attempts or suicide | Unexplained physical problems, such as back pain or headaches | For many people with depression, symptoms usually are severe enough to cause noticeable problems in day-to-day activities, such as work, school, social activities or relationships with others. Some people may feel generally miserable or unhappy without really knowing why.",https://www.mayoclinic.org/diseases-conditions/depression/symptoms-causes/syc-20356007
Clubfoot,"Clubfoot describes a condition present at birth in which a baby's foot is pointed in and down. The tissues connecting the muscles to the bone are called tendons. In clubfoot, the tendons are shorter than usual, pulling the foot out of position.
Also called congenital talipes equinovarus (TAL-ih-peez e-kwie-no-VAY-rus), clubfoot is a common foot condition. It can occur in up to 1 in 1,000 babies. Most newborns with clubfoot do not have other medical conditions.
Clubfoot can be mild to severe. About half of children with clubfoot have it in both feet. If a child has clubfoot that is not treated, the child may walk on the side or top of the foot. This can cause a limp, skin sores or calluses, and problems wearing shoes.
Clubfoot will not get better without treatment. But it can be successfully treated using a specific casting technique. Usually, babies also need a minor procedure to lengthen the heel tendon. Treatment results are best with casting that begins within several weeks after birth.","If your child has clubfoot, here's what it might look like: | The top of the foot is usually pointed in and down. This raises the arch and turns the heel inward. | The foot may be turned so severely that it looks like it is upside down. | The foot or big toe may be slightly shorter than the other foot. | The calf muscles in the leg with clubfoot are usually smaller. | At birth, clubfoot doesn't cause any discomfort or pain.",https://www.mayoclinic.org/diseases-conditions/clubfoot/symptoms-causes/syc-20350860
Cluster headache,"Cluster headache is a very painful type of headache. It usually occurs in periods of frequent attacks known as clusters. Cluster headaches can wake people from sleep. These headaches cause intense pain in or around one eye on one side of the head.
Cluster periods can last from weeks to months. Then usually the headaches stop for a period of time, which may last for months or years.
Cluster headache is rare. Treatments can shorten cluster headache attacks and lessen the pain. Also, medicines can reduce the number of cluster headaches.",,https://www.mayoclinic.org/diseases-conditions/cluster-headache/symptoms-causes/syc-20352080
Coarctation of the aorta,"Aortic coarctation (ko-ahrk-TAY-shun) is a narrowing of a part of the body's main artery, called the aorta. The condition forces the heart to work harder to pump blood.
Coarctation of the aorta is usually present at birth. That means it is a congenital heart defect. But sometimes the condition can occur later in life.
Coarctation of the aorta often occurs along with other congenital heart defects. Treatment to fix the condition is usually successful. But regular health checkups are needed for life to watch for changes in the heart's health.","Symptoms of coarctation of the aorta depend on how much of the aorta is narrowed. Most people don't have symptoms. | Adults and older children with mild coarctation of the aorta may not have symptoms and their hearts may seem healthy. | If a baby is born with an extreme narrowing of the aorta, symptoms may be noticed shortly after birth. Symptoms of coarctation of the aorta in infants include: | Difficulty breathing. | Difficulty feeding. | Heavy sweating. | Irritability. | Changes in skin color. | Symptoms of coarctation of the aorta later in life may include: | Chest pain. | High blood pressure. | Headaches. | Muscle weakness. | Leg cramps. | Cold feet. | Nosebleeds. | Coarctation of the aorta often occurs with other heart conditions present at birth. Other symptoms depend on the specific types of congenital heart defects.",https://www.mayoclinic.org/diseases-conditions/coarctation-of-the-aorta/symptoms-causes/syc-20352529
Valley fever,,,https://www.mayoclinic.org/diseases-conditions/valley-fever/symptoms-causes/syc-20378761
Cold urticaria,,,https://www.mayoclinic.org/diseases-conditions/cold-urticaria/symptoms-causes/syc-20371046
